protocol,flow_duration,mean_forward_iat,min_forward_iat,max_forward_iat,std_forward_iat,mean_backward_iat,min_backward_iat,max_backward_iat,std_backward_iat,mean_flow_iat,min_flow_iat,max_flow_iat,std_flow_iat,mean_active_time,min_active_time,max_active_time,std_active_time,mean_idle_time,min_idle_time,max_idle_time,std_idle_time,Prediction
46,34431.54408,0.0,0.0,0.0,0.0,11477.18136,2574.273153,26751.81571,10850.1171,11477.18136,2574.273153,26751.81571,10850.1171,0.0,0.0,0.0,0.0,11477.18136,2574.273153,26751.81571,10850.1171,Normal Traffic
46,2757.219266,2757.219266,2757.219266,2757.219266,0.0,0.0,0.0,0.0,0.0,2757.219266,2757.219266,2757.219266,0.0,0.0,0.0,0.0,0.0,2757.219266,2757.219266,2757.219266,0.0,Normal Traffic
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS Traffic
22,71839.14209,23946.3807,23886.76209,24023.35062,57.09587046,0.0,0.0,0.0,0.0,23946.3807,23886.76209,24023.35062,57.09587046,0.0,0.0,0.0,0.0,23946.3807,23886.76209,24023.35062,57.09587046,Normal Traffic
22,71839.14206,0.0,0.0,0.0,0.0,23946.38069,23886.76208,24023.35061,57.09587029,23946.38069,23886.76208,24023.35061,57.09587029,0.0,0.0,0.0,0.0,23946.38069,23886.76208,24023.35061,57.09587029,Normal Traffic
46,89197.51756,3430.673752,0.220303059,11423.72633,3825.773285,0.0,0.0,0.0,0.0,3430.673752,0.220303059,11423.72633,3825.773285,0.249172559,0.220303059,0.283071995,0.01726444,6861.098332,2691.987846,11423.72633,2395.298909,Normal Traffic
46,89197.25212,0.0,0.0,0.0,0.0,7433.104343,2692.217424,15278.92196,3415.268695,7433.104343,2692.217424,15278.92196,3415.268695,0.0,0.0,0.0,0.0,7433.104343,2692.217424,15278.92196,3415.268695,Normal Traffic
46,37002.07887,4625.259859,687.646039,16070.21187,4975.711179,0.0,0.0,0.0,0.0,4625.259859,687.646039,16070.21187,4975.711179,0.0,0.0,0.0,0.0,4625.259859,687.646039,16070.21187,4975.711179,Normal Traffic
46,37002.07887,0.0,0.0,0.0,0.0,4625.259859,687.6460481,16070.21186,4975.711176,4625.259859,687.6460481,16070.21186,4975.711176,0.0,0.0,0.0,0.0,4625.259859,687.6460481,16070.21186,4975.711176,Normal Traffic
46,89286.72973,2349.650782,474.9120541,7751.619914,1309.988905,0.0,0.0,0.0,0.0,2349.650782,474.9120541,7751.619914,1309.988905,0.0,0.0,0.0,0.0,2349.650782,474.9120541,7751.619914,1309.988905,Normal Traffic
46,89286.72974,0.0,0.0,0.0,0.0,2626.080286,474.9120569,7751.61991,1518.837464,2626.080286,474.9120569,7751.61991,1518.837464,0.0,0.0,0.0,0.0,2626.080286,474.9120569,7751.61991,1518.837464,Normal Traffic
46,89287.35409,92.23900216,0.013134003,4397.753011,162.041889,0.0,0.0,0.0,0.0,92.23900216,0.013134003,4397.753011,162.041889,0.419560396,0.013134003,0.958106041,0.326496072,93.48890032,1.131258011,4397.753011,162.7841456,Normal Traffic
46,89287.3541,0.0,0.0,0.0,0.0,98.55116346,0.088933945,4397.752997,177.8788996,98.55116346,0.088933945,4397.752997,177.8788996,0.453423421,0.088933945,0.958117962,0.317133019,99.86791165,1.144153833,4397.752997,178.7028479,Normal Traffic
46,42664.67498,42664.67498,42664.67498,42664.67498,0.0,0.0,0.0,0.0,0.0,42664.67498,42664.67498,42664.67498,0.0,0.0,0.0,0.0,0.0,42664.67498,42664.67498,42664.67498,0.0,Normal Traffic
46,42664.67499,0.0,0.0,0.0,0.0,42664.67499,42664.67499,42664.67499,0.0,42664.67499,42664.67499,42664.67499,0.0,0.0,0.0,0.0,0.0,42664.67499,42664.67499,42664.67499,0.0,Normal Traffic
46,22916.01884,22916.01884,22916.01884,22916.01884,0.0,0.0,0.0,0.0,0.0,22916.01884,22916.01884,22916.01884,0.0,0.0,0.0,0.0,0.0,22916.01884,22916.01884,22916.01884,0.0,Normal Traffic
46,22916.01884,0.0,0.0,0.0,0.0,22916.01884,22916.01884,22916.01884,0.0,22916.01884,22916.01884,22916.01884,0.0,0.0,0.0,0.0,0.0,22916.01884,22916.01884,22916.01884,0.0,Normal Traffic
46,89422.63084,119.0714126,0.875655174,4182.407959,190.689887,0.0,0.0,0.0,0.0,119.0714126,0.875655174,4182.407959,190.689887,0.945793033,0.875655174,0.988656998,0.044437101,119.703946,1.029182196,4182.407959,191.003213,Normal Traffic
46,89422.63087,0.0,0.0,0.0,0.0,129.223455,0.875659943,4182.407975,207.8479482,129.223455,0.875659943,4182.407975,207.8479482,0.945794284,0.875659943,0.98866415,0.044436072,129.9692554,1.029215813,4182.407975,208.2203426,Normal Traffic
46,36445.51467,473.3183724,0.169440031,5211.796392,848.2506086,0.0,0.0,0.0,0.0,473.3183724,0.169440031,5211.796392,848.2506086,0.17683207,0.169440031,0.184535027,0.003460514,867.6029893,26.68935013,5211.796392,988.4957683,Normal Traffic
46,36445.33615,0.0,0.0,0.0,0.0,1071.921652,26.86856008,11137.22277,1914.593906,1071.921652,26.86856008,11137.22277,1914.593906,0.0,0.0,0.0,0.0,1071.921652,26.86856008,11137.22277,1914.593906,Normal Traffic
46,89098.58531,730.3162731,11.87804008,7753.182866,887.2601303,0.0,0.0,0.0,0.0,730.3162731,11.87804008,7753.182866,887.2601303,0.0,0.0,0.0,0.0,730.3162731,11.87804008,7753.182866,887.2601303,Normal Traffic
46,89098.58531,0.0,0.0,0.0,0.0,795.5230831,11.8780551,7753.182864,953.5343467,795.5230831,11.8780551,7753.182864,953.5343467,0.0,0.0,0.0,0.0,795.5230831,11.8780551,7753.182864,953.5343467,Normal Traffic
